"Url","Title"
"https://postfallsidahoorg.sharepoint.com/","City Intranet"
"https://postfallsidahoorg.sharepoint.com/sites/AdministrativeApplications","Administrative Applications"
"https://postfallsidahoorg.sharepoint.com/sites/Anewplan2","A new plan #2"
"https://postfallsidahoorg.sharepoint.com/sites/ateam","a team"
"https://postfallsidahoorg.sharepoint.com/sites/ATeam361","A Team"
"https://postfallsidahoorg.sharepoint.com/sites/BasementTraining","Basement Training"
"https://postfallsidahoorg.sharepoint.com/sites/BlackBayPublicRecordsRequest","Black Bay Public Records Request"
"https://postfallsidahoorg.sharepoint.com/sites/CalendarEdit","Calendar Edit"
"https://postfallsidahoorg.sharepoint.com/sites/CapitalImprovementProjects","Capital Improvement Projects"
"https://postfallsidahoorg.sharepoint.com/sites/CDBG-WarrenField","CDBG - Warren Field"
"https://postfallsidahoorg.sharepoint.com/sites/CDSpecialEvents","CD Special Events"
"https://postfallsidahoorg.sharepoint.com/sites/CDSpecialProjects","CD Special Projects"
"https://postfallsidahoorg.sharepoint.com/sites/CDVacations","CD Vacations"
"https://postfallsidahoorg.sharepoint.com/sites/CDWirelessProject","CD Wireless Project"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","City Clerk Department"
"https://postfallsidahoorg.sharepoint.com/sites/CityCouncil","Post Falls City Council - UNDER CONSTRUCTION"
"https://postfallsidahoorg.sharepoint.com/sites/CityEmployeeEvents","Employee Training & Meetings"
"https://postfallsidahoorg.sharepoint.com/sites/CityGrants","City Grants"
"https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept","City Hall IT Dept"
"https://postfallsidahoorg.sharepoint.com/sites/CityofPostFallsMicrosoftTeamsAdoption","City of Post Falls Microsoft Teams Adoption"
"https://postfallsidahoorg.sharepoint.com/sites/CityPolicies","City Policies"
"https://postfallsidahoorg.sharepoint.com/sites/CityPolicies797","City Policies"
"https://postfallsidahoorg.sharepoint.com/sites/Clerk_Task","Clerk Task"
"https://postfallsidahoorg.sharepoint.com/sites/CodeEnforcement","Code Enforcement"
"https://postfallsidahoorg.sharepoint.com/sites/CommunicationsPlanning","Communications Planning"
"https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment","Community Development"
"https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopmentProjects","Community Development Projects"
"https://postfallsidahoorg.sharepoint.com/sites/CONSULTANTROSTER2023-2024","CONSULTANT ROSTER 2023-2024"
"https://postfallsidahoorg.sharepoint.com/sites/CopyofCopyofStrategicPlan","Copy of Copy of Strategic Plan"
"https://postfallsidahoorg.sharepoint.com/sites/CopyofStrategicPlan","Copy of Strategic Plan"
"https://postfallsidahoorg.sharepoint.com/sites/CouncilMeetingFollowUpItems","Council Meeting Follow Up Items"
"https://postfallsidahoorg.sharepoint.com/sites/CourtCalendar","Court Calendar"
"https://postfallsidahoorg.sharepoint.com/sites/Demo","Demo"
"https://postfallsidahoorg.sharepoint.com/sites/DepartmentHeads","Department Heads"
"https://postfallsidahoorg.sharepoint.com/sites/DHRetreatTeam2","DH Retreat Team 2"
